NOCALL
3,DOWN,1
0,UP,1
2,UP,3
NOCALL
4,DOWN,0
1,DOWN,0
6,DOWN,1
NOCALL
6,DOWN,4
NOCALL
5,DOWN,1
0,UP,4
4,UP,5
0,UP,1
NOCALL
4,UP,5
NOCALL
5,DOWN,0
0,UP,2
NOCALL
NOCALL
0,UP,4
2,DOWN,1
0,UP,2
6,DOWN,1
0,UP,1
1,DOWN,0
1,DOWN,0
3,UP,6
2,UP,3
6,DOWN,2
3,UP,5
2,DOWN,0
2,UP,6
5,DOWN,4
0,UP,5
0,UP,5
2,DOWN,1
3,UP,5
NOCALL
1,UP,5
6,DOWN,0
6,DOWN,1
4,UP,5
6,DOWN,3
0,UP,1
0,UP,2
5,UP,6
3,UP,6
1,DOWN,0
6,DOWN,4
0,UP,2
0,UP,6
2,UP,5
4,DOWN,0
0,UP,1
1,UP,5
5,UP,6
NOCALL
3,DOWN,1
3,DOWN,1
6,DOWN,0
NOCALL
4,UP,5
6,DOWN,2
4,DOWN,2
6,DOWN,3
1,UP,5
0,UP,3
3,UP,5
1,UP,3
3,UP,5
0,UP,3
5,UP,6
5,DOWN,1
NOCALL
4,DOWN,1
2,DOWN,0
3,UP,5
NOCALL
0,UP,3
1,UP,2
3,UP,5
6,DOWN,1
2,UP,6
6,DOWN,3
2,UP,4
4,UP,6
4,UP,6
5,DOWN,2
6,DOWN,3
0,UP,6
6,DOWN,5
4,DOWN,2
5,UP,6
3,UP,6
0,UP,5
1,DOWN,0
NOCALL
